titre;réalisateur(s);année de production;groupe de nationalité2;année de dernière diffusion;nb. de diffusions;dont en première partie de soirée;nb. moyen de diffusions par an;titre_norm;imdb_genres_brut;genre;match_score;imdb_tconst;imdb_title;imdb_year;match_field
TINTIN ET LE TEMPLE DU SOLEIL;LEBLANC Raymond;1969;BELGIQUE / FRANCE;2024;56;20;2,0;TINTIN ET LE TEMPLE DU SOLEIL;Adventure,Animation,Family;Animation;100.0;tt0065106;Seven Crystal Balls and the Prisoners of the Sun;1969;originalTitle
GRAND RESTAURANT (LE);BESNARD Jacques;1966;FRANCE;2024;54;30;1,0;GRAND RESTAURANT;Action,Comedy;Comédie;95.0;tt0061728;What's Cooking in Paris;1966;originalTitle
ASTERIX ET LE COUP DU MENHIR;GRIMOND Philippe;1988;FRANCE;2024;54;48;2,1;ASTERIX ET LE COUP DU MENHIR;Adventure,Animation,Comedy;Animation;96.42857142857143;tt0096842;Asterix and the Big Fight;1989;originalTitle
BOUGE;CORNUAU Jérôme;1997;FRANCE;2024;54;10;2,3;BOUGE;Comedy,Drama,Music;Comédie;100.0;tt0118757;Bouge!;1997;primaryTitle
VIE EST UN LONG FLEUVE TRANQUILLE (LA);CHATILIEZ Etienne;1987;FRANCE;2024;53;35;1,6;VIE EST UN LONG FLEUVE TRANQUILLE;Comedy;Comédie;95.65217391304348;tt0096386;Life Is a Long Quiet River;1988;originalTitle
KIRIKOU ET LA SORCIERE;OCELOT Michel;1995;FRANCE / BELGIQUE;2021;53;27;2,3;KIRIKOU ET LA SORCIERE;Adventure,Animation,Family;Animation;95.45454545454545;tt0181627;Kirikou and the Sorceress;1998;originalTitle
SOUS DOUES (LES);ZIDI Claude;1979;FRANCE;2024;52;34;1,3;SOUS DOUES;\N;;90.0;tt0095109;Es;1988;primaryTitle
ASTERIX ET LES INDIENS;HAHN Gerhard;1994;ALLEMAGNE;2024;51;45;2,0;ASTERIX ET LES INDIENS;Drama;Drame;90.0;tt0045994;Les;1953;primaryTitle
SOUS DOUES EN VACANCES (LES);ZIDI Claude;1981;FRANCE;2024;50;34;1,3;SOUS DOUES EN VACANCES;\N;;90.0;tt0159087;Vacances;1931;primaryTitle
FLIC OU VOYOU;LAUTNER Georges;1979;FRANCE;2024;50;33;1,3;FLIC OU VOYOU;Action,Comedy,Crime;Comédie;100.0;tt0077563;Cop or Hood;1979;originalTitle
BOUM (LA);PINOTEAU Claude;1980;FRANCE;2024;48;24;1,2;BOUM;Documentary;Documentaire;100.0;tt23630110;Boum;2022;primaryTitle
CERVEAU (LE);OURY Gérard;1968;FRANCE / ITALIE;2023;48;29;1,0;CERVEAU;Adventure,Comedy,Crime;Comédie;95.0;tt0064146;The Brain;1969;originalTitle
ON L APPELLE TRINITA;CLUCHER E. B.;1971;ITALIE / FRANCE;2023;46;22;1,2;ON L APPELLE TRINITA;Drama,History,War;Historique;90.0;tt0076842;Trini;1977;primaryTitle
GRAND BLEU (LE);BESSON Luc;1987;FRANCE;2023;46;37;1,4;GRAND BLEU;Adventure,Drama,Sport;Aventure;95.0;tt0095250;The Big Blue;1988;originalTitle
BANZAI;ZIDI Claude;1982;FRANCE;2024;46;32;1,2;BANZAI;Comedy;Comédie;100.0;tt0125670;Banzai;1997;primaryTitle
PACHA (LE);LAUTNER Georges;1967;FRANCE;2024;46;30;0,9;PACHA;Drama;Drame;100.0;tt2187005;Pacha;2012;primaryTitle
CARTOUCHE;DE BROCA Philippe;1961;FRANCE / Italie;2024;46;18;0,9;CARTOUCHE;Adventure;Aventure;100.0;tt0046736;Cartouche;1955;primaryTitle
OPERATION CORNED BEEF (L');POIRE Jean-Marie;1990;FRANCE;2024;45;34;1,5;OPERATION CORNED BEEF;Action,Comedy,Romance;Comédie;100.0;tt0100303;Operation Corned Beef;1991;primaryTitle
RETOUR DE LA MOMIE (LE);SOMMERS Stephen;2001;ETATS UNIS;2024;45;26;2,3;RETOUR DE LA MOMIE;Comedy,Fantasy,Horror;Comédie;90.0;tt0100172;Mom;1990;primaryTitle
P R O F S;SCHULMANN Patrick;1985;FRANCE;2024;44;31;1,2;P R O F S;Comedy;Comédie;100.0;tt0089762;P.R.O.F.S.;1985;primaryTitle
HEROINES;KRAWCZYK Gérard;1996;FRANCE;2023;44;4;1,8;HEROINES;Documentary;Documentaire;100.0;tt0296667;Heroines;2001;primaryTitle
11 COMMANDEMENTS (LES);DESAGNAT François;2003;FRANCE;2024;44;38;2,4;11 COMMANDEMENTS;Comedy;Comédie;95.0;tt0386695;The 11 Commandments;2004;originalTitle
TATIE DANIELLE;CHATILIEZ Etienne;1989;FRANCE;2024;43;31;1,3;TATIE DANIELLE;Comedy,Drama,Romance;Comédie;100.0;tt0100747;Auntie Danielle;1990;originalTitle
IL ETAIT UNE FOIS DANS L OUEST;LEONE Sergio;1969;ITALIE;2024;43;28;1,2;IL ETAIT UNE FOIS DANS L OUEST;Drama;Drame;94.73684210526316;tt0071649;Il était une fois dans l'est;1974;primaryTitle
NIKITA;BESSON Luc;1989;FRANCE;2021;43;31;1,4;NIKITA;Biography,Documentary;Drame;100.0;tt38747504;Nikita;2025;primaryTitle
TRAVERSEE DE PARIS (LA);AUTANT-LARA Claude;1956;FRANCE / Italie;2019;43;21;0,8;TRAVERSEE DE PARIS;Drama,Romance;Drame;90.0;tt0017251;Paris;1926;primaryTitle
PEAU D ANE;DEMY Jacques;1970;FRANCE;2021;43;19;0,9;PEAU D ANE;Crime,Drama,Mystery;Policier;95.23809523809523;tt0091737;Peau d'ange;1986;primaryTitle
RETOUR VERS LE FUTUR;ZEMECKIS Robert;1985;ETATS UNIS;2024;43;23;1,3;RETOUR VERS LE FUTUR;Adventure,Drama,History;Aventure;90.0;tt0086497;Utu;1983;primaryTitle
ASTERIX ET LES VIKINGS;FJELDMARK Stephan;2004;FRANCE;2024;43;34;2,7;ASTERIX ET LES VIKINGS;Comedy;Comédie;90.0;tt0029735;Viki;1937;primaryTitle
BOUM 2 (LA);PINOTEAU Claude;1982;FRANCE;2024;42;21;1,1;BOUM 2;Crime,Mystery,Thriller;Policier;90.0;tt0022100;M;1931;primaryTitle
FOUS DU STADE (LES);ZIDI Claude;1972;FRANCE;2017;42;26;1,0;FOUS DU STADE;Comedy,Romance,Sport;Comédie;95.0;tt0197485;Stadium Nuts;1972;originalTitle
GLOIRE DE MON PERE (LA);ROBERT Yves;1989;FRANCE;2024;42;27;1,4;GLOIRE DE MON PERE;Drama,Sci-Fi;Science-fiction;90.0;tt0067470;N.P.;1971;primaryTitle
COUP DE FOUDRE A NOTTING HILL;MICHELL Roger;1999;GRANDE BRETAGNE;2024;42;25;1,9;COUP DE FOUDRE A NOTTING HILL;Comedy,Drama,Romance;Comédie;90.0;tt0125439;Notting Hill;1999;primaryTitle
CAPITAN (LE);HUNEBELLE André;1960;FRANCE / Italie;2020;41;12;0,8;CAPITAN;Documentary,Sport;Drame;95.0;tt4257072;El Capitan;1978;primaryTitle
FANTOMAS SE DECHAINE;HUNEBELLE André;1965;FRANCE / ITALIE;2024;41;25;0,9;FANTOMAS SE DECHAINE;Crime,Drama;Policier;90.0;tt0028852;Fant;1937;primaryTitle
RAMBO;KOTCHEFF Ted;1982;ETATS UNIS;2024;41;17;1,1;RAMBO;Action,Thriller;Action;100.0;tt0462499;Rambo;2008;primaryTitle
QUATRE MARIAGES ET UN ENTERREMENT;NEWELL Mike;1994;GRANDE BRETAGNE;2024;41;27;1,5;QUATRE MARIAGES ET UN ENTERREMENT;Drama;Drame;90.0;tt0039608;Maria;1947;primaryTitle
LIGUE DES GENTLEMEN EXTRAORDINAIRES (LA);NORRINGTON Stephen;2003;ETATS UNIS;2024;41;25;2,3;LIGUE DES GENTLEMEN EXTRAORDINAIRES;Thriller;Thriller;90.0;tt12880042;Extra;\N;primaryTitle
JURASSIC PARK;SPIELBERG Steven;1992;ETATS UNIS;2024;41;22;1,5;JURASSIC PARK;Action,Adventure,Sci-Fi;Action;100.0;tt0107290;Jurassic Park;1993;primaryTitle
MAGNIFIQUE (LE);DE BROCA Philippe;1973;FRANCE;2024;40;20;0,9;MAGNIFIQUE;Biography,History;Historique;100.0;tt19865146;Magnifique!;\N;primaryTitle
NUIT D IVRESSE;NAUER Bernard;1986;FRANCE;2024;40;27;1,1;NUIT D IVRESSE;Comedy;Comédie;100.0;tt0091656;Nuit d'ivresse;1986;primaryTitle
POUR CENT BRIQUES T AS PLUS RIEN;MOLINARO Edouard;1982;FRANCE;2023;40;26;1,0;POUR CENT BRIQUES T AS PLUS RIEN;Comedy;Comédie;100.0;tt0084526;For 200 Grand, You Get Nothing Now;1982;originalTitle
HIBERNATUS;MOLINARO Edouard;1969;FRANCE / ITALIE;2024;40;22;0,9;HIBERNATUS;Comedy,Fantasy,Sci-Fi;Comédie;100.0;tt0064425;Hibernatus;1969;primaryTitle
ZIZANIE (LA);ZIDI Claude;1977;FRANCE;2023;40;25;0,9;ZIZANIE;Comedy;Comédie;95.0;tt0078528;La zizanie;1978;primaryTitle
TULIPE NOIRE (LA);CHRISTIAN-JAQUE;1963;FRANCE / ESPAGNE;2023;40;11;0,8;TULIPE NOIRE;Action,Adventure,Comedy;Comédie;95.0;tt0058692;The Black Tulip;1964;originalTitle
VILAINE;BENES Jean-Patrick;2007;France;2024;40;30;3,1;VILAINE;Comedy;Comédie;100.0;tt1132608;Ugly Melanie;2008;originalTitle
VERITE SI JE MENS (LA);GILOU Thomas;1996;FRANCE;2024;40;27;1,7;VERITE SI JE MENS;Drama;Drame;90.0;tt0015130;Men;1924;primaryTitle
CITE DE LA PEUR... (LA);BERBERIAN Alain;1993;FRANCE;2024;40;30;1,4;CITE DE LA PEUR;Comedy,Horror;Comédie;91.72413793103448;tt0109440;Fear City: A Family-Style Comedy;1994;originalTitle
FLIC DE BEVERLY HILLS (LE);BREST Martin;1984;ETATS UNIS;2023;39;21;1,1;FLIC DE BEVERLY HILLS;Adventure,Thriller;Aventure;90.0;tt0062951;Eve;1968;primaryTitle
FANTOMAS;HUNEBELLE André;1964;FRANCE / ITALIE;2023;39;23;0,8;FANTOMAS;Adventure,Comedy,Crime;Comédie;100.0;tt0058089;Fantomas;1964;primaryTitle
BANDE A PICSOU LE FILM (LA);COLLECTIF;1989;FRANCE;2023;39;26;1,3;BANDE A PICSOU LE FILM;Comedy;Comédie;90.0;tt0167936;Film;2000;primaryTitle
TOP GUN;SCOTT Tony;1986;ETATS UNIS;2024;39;28;1,1;TOP GUN;Drama,Western;Aventure;100.0;tt0048734;Top Gun;1955;primaryTitle
ETUDIANTE (L');PINOTEAU Claude;1988;FRANCE / ITALIE;2024;39;18;1,1;ETUDIANTE;\N;;90.0;tt0102617;Ôte;1991;primaryTitle
RETOUR VERS LE FUTUR II;ZEMECKIS Robert;1989;ETATS UNIS;2024;39;23;1,3;RETOUR VERS LE FUTUR II;Adventure,Drama,History;Aventure;90.0;tt0086497;Utu;1983;primaryTitle
DIABOLO MENTHE;KURYS Diane;1977;FRANCE;2024;39;17;0,9;DIABOLO MENTHE;Comedy,Drama,Romance;Comédie;100.0;tt0075939;Peppermint Soda;1977;originalTitle
FLIC DE BEVERLY HILLS 2 (LE);SCOTT Tony;1987;ETATS UNIS;2023;39;20;1,2;FLIC DE BEVERLY HILLS 2;Adventure,Thriller;Aventure;90.0;tt0062951;Eve;1968;primaryTitle
VIAGER (LE);TCHERNIA Pierre;1971;FRANCE;2023;39;26;0,8;VIAGER;Drama,Music,Musical;Comédie;90.0;tt0085574;G;1983;primaryTitle
FANTOMAS CONTRE SCOTLAND YARD;HUNEBELLE André;1966;FRANCE / ITALIE;2024;39;23;0,8;FANTOMAS CONTRE SCOTLAND YARD;Adventure,Comedy,Crime;Comédie;96.55172413793103;tt0060400;Fantomas vs. Scotland Yard;1967;originalTitle
FILLE DE D ARTAGNAN (LA);TAVERNIER Bertrand;1993;FRANCE;2023;39;15;1,4;FILLE DE D ARTAGNAN;Action,Adventure,Comedy;Comédie;95.0;tt0109798;Revenge of the Musketeers;1994;originalTitle
GHOST;ZUCKER Jerry;1990;ETATS UNIS;2024;38;23;1,3;GHOST;Drama,Fantasy,Romance;Fantastique;100.0;tt0099653;Ghost;1990;primaryTitle
PIEGE DE CRISTAL;MacTIERNAN John;1987;ETATS UNIS;2024;38;22;1,2;PIEGE DE CRISTAL;Drama,Horror,Mystery;Policier;90.0;tt0138704;Pi;1998;primaryTitle
RAMBO II;COSMATOS George P;1985;ETATS UNIS;2024;38;18;1,1;RAMBO II;Action,Adventure,Thriller;Action;94.11764705882352;tt0095956;Rambo III;1988;primaryTitle
GRAND BLOND AVEC UNE CHAUSSURE NOIRE (LE);ROBERT Yves;1972;FRANCE;2024;38;28;0,9;GRAND BLOND AVEC UNE CHAUSSURE NOIRE;Comedy,Mystery;Comédie;96.0;tt0068655;The Tall Blond Man with One Black Shoe;1972;originalTitle
CHATEAU DE MA MERE (LE);ROBERT Yves;1989;FRANCE;2024;38;20;1,2;CHATEAU DE MA MERE;Drama;Drame;90.0;tt0008050;Hate;1917;primaryTitle
CHAOS - TONY GIGLIO -;GIGLIO Tony;2004;GRANDE BRETAGNE;2024;38;23;2,5;CHAOS TONY GIGLIO;Comedy;Comédie;90.0;tt0239302;Cha;1989;primaryTitle
VISITEURS EN AMERIQUE (LES);POIRE Jean-Marie;2000;FRANCE;2024;38;25;1,9;VISITEURS EN AMERIQUE;Documentary;Documentaire;90.0;tt0286266;Site;1998;primaryTitle
MEN IN BLACK;SONNENFELD Barry;1997;ETATS UNIS;2024;38;23;1,7;MEN IN BLACK;Action,Adventure,Comedy;Comédie;100.0;tt0119654;Men in Black;1997;primaryTitle
RRRRRRR;CHABAT Alain;2003;FRANCE;2024;38;26;2,2;RRRRRRR;Comedy,Crime,Mystery;Comédie;100.0;tt0357111;RRRrrrr!!!;2004;primaryTitle
DIKKENEK;VAN HOOFSTADT Olivier;2005;FRANCE / BELGIQUE;2024;38;26;2,7;DIKKENEK;Comedy;Comédie;100.0;tt0456123;Dikkenek;2006;primaryTitle
MONDE PERDU JURASSIC PARK (LE);SPIELBERG Steven;1997;ETATS UNIS;2024;38;22;1,7;MONDE PERDU JURASSIC PARK;Action,Adventure,Sci-Fi;Action;90.0;tt0107290;Jurassic Park;1993;primaryTitle
PETIT BAIGNEUR (LE);DHERY Robert;1967;FRANCE;2024;37;21;0,8;PETIT BAIGNEUR;Comedy;Comédie;95.0;tt0062120;The Little Bather;1968;originalTitle
MUHAMMAD ALI THE GREATEST 1964 1974;KLEIN William;1974;FRANCE;2020;37;9;1,4;MUHAMMAD ALI THE GREATEST 1964 1974;\N;;95.0;tt29102679;Muhammad Ali, the Greatest;1974;primaryTitle
VENGEANCE DU SERPENT A PLUMES (LA);OURY Gérard;1984;FRANCE;2024;37;24;1,0;VENGEANCE DU SERPENT A PLUMES;Adventure,Comedy,Crime;Comédie;93.38983050847457;tt0088344;La vengeance du serpent à plumes;1984;primaryTitle
DIRTY DANCING;ARDOLINO Emile;1987;ETATS UNIS;2024;37;26;1,2;DIRTY DANCING;Drama,Music,Romance;Comédie;100.0;tt0092890;Dirty Dancing;1987;primaryTitle
TOUR MONTPARNASSE INFERNALE (LA);NEMES Charles;2000;FRANCE;2024;37;28;1,8;TOUR MONTPARNASSE INFERNALE;Comedy;Comédie;95.0;tt0259060;Don't Die Too Hard!;2001;originalTitle
REGRETS (LES);KAHN Cédric;2008;FRANCE;2024;37;1;3,1;REGRETS;\N;;100.0;tt0228771;Regrets;1998;primaryTitle
CACTUS (LE);BITTON Gerard;2005;FRANCE;2024;37;9;2,5;CACTUS;Drama,Romance;Drame;100.0;tt0090784;Cactus;1986;primaryTitle
CROISIERE (LA);POUZADOUX Pascale;2010;FRANCE;2024;36;24;4,0;CROISIERE;Comedy,Romance;Comédie;90.0;tt0047486;Sie;1954;primaryTitle
OURS (L');ANNAUD Jean-Jacques;1987;FRANCE;2024;36;23;1,1;OURS;Comedy;Comédie;90.0;tt0009855;23 1/2 Hours' Leave;1919;primaryTitle
COUP DE TETE;ANNAUD Jean-Jacques;1978;FRANCE;2022;36;19;0,9;COUP DE TETE;Crime,Drama;Policier;91.66666666666666;tt0195612;Coup de tête;1944;primaryTitle
MON NOM EST PERSONNE;VALERII Tonino;1973;ITALIE / FRANCE;2024;36;18;0,8;MON NOM EST PERSONNE;Comedy,Drama;Comédie;90.0;tt0053665;Son;1960;primaryTitle
AVENTURES DE ROBIN DES BOIS (LES);CURTIZ Michael;1938;ETATS UNIS;2024;36;8;0,7;AVENTURES DE ROBIN DES BOIS;Drama;Drame;90.0;tt0314582;Robin;1979;primaryTitle
YAMAKASI, LES 7 SAMOURAI DES TEMPS MODERNES (LES);ZEITOUN Ariel;2000;FRANCE;2022;36;27;1,7;YAMAKASI LES 7 SAMOURAI DES TEMPS MODERNES;Action,Crime,Drama;Policier;93.97590361445783;tt0267129;Yamakasi;2001;originalTitle
MAITRE D ECOLE (LE);BERRI Claude;1981;FRANCE;2023;35;24;0,9;MAITRE D ECOLE;Comedy,Romance;Comédie;90.0;tt0018033;It;1927;primaryTitle
PETIT MONDE DE DON CAMILLO (LE);DUVIVIER Julien;1951;ITALIE / FRANCE;2024;35;10;0,6;PETIT MONDE DE DON CAMILLO;Drama;Drame;90.0;tt6027948;Mill;\N;primaryTitle
RETOUR DU GRAND BLOND (LE);ROBERT Yves;1974;FRANCE;2024;35;19;0,8;RETOUR DU GRAND BLOND;Comedy;Comédie;95.0;tt0072080;The Return of the Tall Blond Man;1974;originalTitle
GHOSTBUSTERS SOS FANTOMES;REITMAN Ivan;1984;ETATS UNIS;2021;35;20;1,0;GHOSTBUSTERS SOS FANTOMES;Crime,Drama;Policier;90.0;tt0028852;Fant;1937;primaryTitle
CUISINE AU BEURRE (LA);GRANGIER Gilles;1963;FRANCE;2024;35;21;0,7;CUISINE AU BEURRE;Comedy;Comédie;95.0;tt0056969;My Wife's Husband;1963;originalTitle
ANGELIQUE MARQUISE DES ANGES;BORDERIE Bernard;1964;FRANCE / ALLEMAGNE;2024;35;19;0,7;ANGELIQUE MARQUISE DES ANGES;Adventure,Drama,History;Aventure;96.42857142857143;tt0057846;Angélique;1964;originalTitle
58 MINUTES POUR VIVRE;HARLIN Renny;1990;ETATS UNIS;2024;35;21;1,2;58 MINUTES POUR VIVRE;Drama,Romance;Drame;95.0;tt0062452;Live for Life;1967;originalTitle
CHASSEURS DE DRAGONS;HEMMEN François;2006;France / Luxembourg;2024;35;17;2,5;CHASSEURS DE DRAGONS;Action,Adventure,Animation;Animation;100.0;tt0944834;Dragon Hunters;2008;originalTitle
UNE JOURNEE EN ENFER;MacTIERNAN John;1994;ETATS UNIS;2024;35;23;1,3;UNE JOURNEE EN ENFER;Mystery;Policier;90.0;tt2042608;Nee;1966;primaryTitle
RASTA ROCKETT;TURTELTAUB Jon;1993;ETATS UNIS;2024;35;23;1,3;RASTA ROCKETT;Drama;Drame;90.0;tt0193548;Ta;1976;primaryTitle
TROIE;PETERSEN Wolfgang;2003;GRANDE BRETAGNE;2024;35;24;2,1;TROIE;Adventure,History;Aventure;100.0;tt7435138;The Three of Us;2025;originalTitle
ANGELIQUE ET LE ROY;BORDERIE Bernard;1965;FRANCE / ALLEMAGNE;2024;34;22;0,7;ANGELIQUE ET LE ROY;Adventure,History,Romance;Aventure;94.73684210526316;tt0058909;Angelique and the King;1966;originalTitle
MERVEILLEUSE ANGELIQUE;BORDERIE Bernard;1964;FRANCE / ALLEMAGNE;2024;34;14;0,7;MERVEILLEUSE ANGELIQUE;Adventure,History,Romance;Aventure;95.45454545454545;tt0058343;Merveilleuse Angélique;1965;primaryTitle
HOMME DE RIO (L');DE BROCA Philippe;1963;FRANCE / ITALIE;2021;34;9;0,6;HOMME DE RIO;Action,Adventure,Comedy;Comédie;95.0;tt0058203;That Man from Rio;1964;originalTitle
ARME FATALE (L');DONNER Richard;1987;ETATS UNIS;2024;34;17;1,0;ARME FATALE;Drama;Drame;90.0;tt0055159;Me;1961;primaryTitle
GREASE;KLEISER Randal;1978;ETATS UNIS;2024;34;20;0,9;GREASE;Comedy,Musical,Romance;Comédie;100.0;tt0077631;Grease;1978;primaryTitle
GRANDES VACANCES (LES);GIRAULT Jean;1967;FRANCE;2024;34;23;0,8;GRANDES VACANCES;Adventure,Comedy;Comédie;95.0;tt0060475;The Exchange Student;1967;originalTitle
ANGELIQUE ET LE SULTAN;BORDERIE Bernard;1967;FRANCE / ALLEMAGNE;2024;34;16;0,7;ANGELIQUE ET LE SULTAN;Adventure,Romance;Aventure;95.45454545454545;tt0061357;Angelique and the Sultan;1968;originalTitle
GENDARME DE SAINT TROPEZ (LE);GIRAULT Jean;1964;FRANCE / ITALIE;2024;34;23;0,7;GENDARME DE SAINT TROPEZ;Comedy;Comédie;95.0;tt0166335;Saint Tropez, Saint Tropez;1992;primaryTitle
GRAND BAZAR (LE);ZIDI Claude;1973;FRANCE;2024;34;19;0,8;GRAND BAZAR;Comedy;Comédie;95.0;tt0070128;The Big Store;1973;originalTitle
AVENTURIERS (LES);ENRICO Robert;1966;FRANCE;2024;34;10;0,7;AVENTURIERS;\N;;95.0;tt28947593;Les aventuriers;\N;primaryTitle
MARGINAL (LE);DERAY Jacques;1983;FRANCE;2024;34;23;0,9;MARGINAL;Documentary;Documentaire;100.0;tt6145074;Marginal;2016;primaryTitle
DERNIER DOMICILE CONNU;GIOVANNI José;1969;FRANCE / ITALIE;2023;34;17;0,7;DERNIER DOMICILE CONNU;Crime,Drama,Mystery;Policier;100.0;tt0064225;Last Known Address;1970;originalTitle
ARME FATALE II (L');DONNER Richard;1989;ETATS UNIS;2024;34;20;1,1;ARME FATALE II;Drama;Drame;90.0;tt0055159;Me;1961;primaryTitle
JUMANJI;JOHNSTON Joe;1995;ETATS UNIS;2024;34;19;1,4;JUMANJI;Adventure,Comedy,Family;Comédie;100.0;tt0113497;Jumanji;1995;primaryTitle
FORREST GUMP;ZEMECKIS Robert;1993;ETATS UNIS;2023;34;22;1,3;FORREST GUMP;Drama,Romance;Drame;100.0;tt0109830;Forrest Gump;1994;primaryTitle
BAD BOYS FLICS DE CHOCS;BAY Michael;1994;ETATS UNIS;2024;34;18;1,4;BAD BOYS FLICS DE CHOCS;Drama;Drame;90.0;tt0015641;Boy;1926;primaryTitle
ANGES GARDIENS (LES);POIRE Jean-Marie;1994;FRANCE;2023;34;23;1,3;ANGES GARDIENS;Action,Comedy,Crime;Comédie;95.0;tt0112366;Guardian Angels;1995;originalTitle
WASABI;KRAWCZYK Gérard;2001;FRANCE;2023;34;22;1,7;WASABI;Action,Comedy,Crime;Comédie;100.0;tt0281364;Wasabi;2001;primaryTitle
PALAIS ROYAL;LEMERCIER Valérie;2004;FRANCE / GRANDE BRETAGNE;2024;34;23;2,1;PALAIS ROYAL;Comedy;Comédie;100.0;tt0424338;Palais royal!;2005;primaryTitle
DIDIER;CHABAT Alain;1996;FRANCE;2024;34;26;1,4;DIDIER;Comedy,Fantasy,Sport;Comédie;100.0;tt0118976;Didier;1997;primaryTitle
LEON;BESSON Luc;1993;FRANCE;2024;34;21;1,3;LEON;Documentary;Documentaire;100.0;tt20764862;Leon;2023;primaryTitle
TAXI 3;KRAWCZYK Gérard;2001;FRANCE;2024;34;20;1,8;TAXI 3;Action,Comedy,Crime;Comédie;100.0;tt0295721;Taxi 3;2003;primaryTitle
PISCINE (LA);DERAY Jacques;1968;FRANCE / ITALIE;2024;33;12;0,7;PISCINE;Crime,Drama,Romance;Policier;95.0;tt0064816;The Swimming Pool;1969;originalTitle
TINTIN ET LE MYSTERE DE LA TOISON D OR;VIERNE Jean-Jacques;1961;FRANCE;2019;33;16;0,6;TINTIN ET LE MYSTERE DE LA TOISON D OR;Adventure,Comedy,Crime;Comédie;97.36842105263158;tt0055526;Tintin and the Mystery of the Golden Fleece;1961;originalTitle
LUCKY LUKE DAISY TOWN;GOSCINNY René;1970;FRANCE;2024;33;12;0,8;LUCKY LUKE DAISY TOWN;Action,Comedy,Sport;Comédie;90.0;tt0014228;Luck;1923;primaryTitle
NE NOUS FACHONS PAS;LAUTNER Georges;1965;FRANCE;2018;33;19;0,6;NE NOUS FACHONS PAS;Comedy,Crime;Comédie;94.73684210526316;tt0059499;Let's Not Get Angry;1966;originalTitle
PEUR SUR LA VILLE;VERNEUIL Henri;1974;FRANCE;2024;33;18;0,8;PEUR SUR LA VILLE;Action,Crime,Drama;Policier;100.0;tt0073535;The Night Caller;1975;originalTitle
ROBIN DES BOIS PRINCE DES VOLEURS;REYNOLDS Kevin;1990;GRANDE BRETAGNE;2024;33;22;1,1;ROBIN DES BOIS PRINCE DES VOLEURS;Romance;Romance;90.0;tt0064842;Prince;1969;primaryTitle
INSPECTEUR LABAVURE;ZIDI Claude;1980;FRANCE;2024;33;22;0,8;INSPECTEUR LABAVURE;Comedy,Crime;Comédie;97.43589743589743;tt0080929;Inspector Blunder;1980;originalTitle
VIENS CHEZ MOI J HABITE CHEZ...;LECONTE Patrice;1980;FRANCE;2024;33;23;0,8;VIENS CHEZ MOI J HABITE CHEZ;Comedy;Comédie;95.0;tt0083287;Viens chez moi, j'habite chez une copine;1981;primaryTitle
